restaurant_name,michelin_distinction,rating,review_count,price_level,type,michelin
Le Veau d'Or,Selected Restaurants,4.5,280.0,PRICE_LEVEL_EXPENSIVE,french_restaurant,1
Masa,Two Stars,4.2,584.0,PRICE_LEVEL_VERY_EXPENSIVE,restaurant,1
Daphne's,Selected Restaurants,4.7,185.0,,italian_restaurant,1
Jean-Georges,Two Stars,4.5,1351.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,1
Café Boulud,One Star,4.5,917.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,1
Lungi,bib,4.6,1204.0,PRICE_LEVEL_MODERATE,south_indian_restaurant,1
Vert Frais,Michelin Star,4.3,458.0,PRICE_LEVEL_MODERATE,japanese_restaurant,1
JoJo,Selected Restaurants,4.3,701.0,PRICE_LEVEL_EXPENSIVE,restaurant,1
Tatiana,Selected Restaurants,4.3,851.0,PRICE_LEVEL_VERY_EXPENSIVE,caribbean_restaurant,1
Bayon,bib,4.8,203.0,PRICE_LEVEL_INEXPENSIVE,cambodian_restaurant,1
Daniel,One Star,4.6,2500.0,PRICE_LEVEL_VERY_EXPENSIVE,french_restaurant,1
The Leopard at Des Artistes,Selected Restaurants,4.4,424.0,PRICE_LEVEL_VERY_EXPENSIVE,italian_restaurant,1
El Fish Marisqueria,Selected Restaurants,4.5,303.0,PRICE_LEVEL_MODERATE,mexican_restaurant,1
Cafe Commerce,Selected Restaurants,4.6,282.0,,restaurant,1
Tong,Selected Restaurants,4.5,752.0,PRICE_LEVEL_MODERATE,thai_restaurant,1
Risbo,Selected Restaurants,4.5,1027.0,PRICE_LEVEL_MODERATE,french_restaurant,1
Mission Ceviche,Selected Restaurants,4.7,1922.0,,seafood_restaurant,1
Bohemian Spirit,bib,4.5,685.0,PRICE_LEVEL_MODERATE,czech_restaurant,1
